,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
360,2022-11-01,Nagaland,4-Wheelers,0,724
361,2022-11-01,Punjab,4-Wheelers,0,8875
362,2022-11-01,Tripura,4-Wheelers,0,410
363,2022-12-01,Arunachal Pradesh,4-Wheelers,0,865
364,2022-12-01,Ladakh,2-Wheelers,0,16
365,2022-12-01,Ladakh,4-Wheelers,0,144
366,2022-12-01,Manipur,4-Wheelers,0,1478
367,2022-12-01,Meghalaya,4-Wheelers,0,1150
368,2022-12-01,Mizoram,4-Wheelers,0,445
369,2022-12-01,Nagaland,2-Wheelers,0,369
370,2022-12-01,Nagaland,4-Wheelers,0,490
371,2022-12-01,Tripura,4-Wheelers,0,385
372,2023-01-01,Andaman & Nicobar Island,2-Wheelers,0,373
373,2023-01-01,Andaman & Nicobar Island,4-Wheelers,0,153
374,2023-01-01,Arunachal Pradesh,2-Wheelers,0,718
375,2023-01-01,Arunachal Pradesh,4-Wheelers,0,966
376,2023-01-01,Ladakh,4-Wheelers,0,92
377,2023-01-01,Mizoram,4-Wheelers,0,476
378,2023-01-01,Nagaland,2-Wheelers,0,432
379,2023-01-01,Nagaland,4-Wheelers,0,545
380,2023-01-01,Punjab,4-Wheelers,0,11608
381,2023-01-01,Tripura,4-Wheelers,0,399
382,2023-02-01,Andaman & Nicobar Island,2-Wheelers,0,346
383,2023-02-01,Andaman & Nicobar Island,4-Wheelers,0,148
384,2023-02-01,Arunachal Pradesh,2-Wheelers,0,816
385,2023-02-01,Arunachal Pradesh,4-Wheelers,0,840
386,2023-02-01,Ladakh,2-Wheelers,0,5
387,2023-02-01,Ladakh,4-Wheelers,0,49
388,2023-02-01,Meghalaya,4-Wheelers,0,1002
389,2023-02-01,Mizoram,4-Wheelers,0,337
390,2023-02-01,Nagaland,2-Wheelers,0,375
391,2023-02-01,Nagaland,4-Wheelers,0,806
392,2023-02-01,Tripura,4-Wheelers,0,328
393,2023-03-01,Arunachal Pradesh,2-Wheelers,0,1131
394,2023-03-01,Arunachal Pradesh,4-Wheelers,0,1048
395,2023-03-01,Ladakh,2-Wheelers,0,30
396,2023-03-01,Ladakh,4-Wheelers,0,59
397,2023-03-01,Manipur,4-Wheelers,0,320
398,2023-03-01,Meghalaya,4-Wheelers,0,1369
399,2023-03-01,Mizoram,4-Wheelers,0,433
400,2023-03-01,Nagaland,2-Wheelers,0,693
401,2023-03-01,Nagaland,4-Wheelers,0,820
402,2023-04-01,Andaman & Nicobar Island,2-Wheelers,0,325
403,2023-04-01,Arunachal Pradesh,2-Wheelers,0,971
404,2023-04-01,Ladakh,2-Wheelers,0,43
405,2023-04-01,Ladakh,4-Wheelers,0,219
406,2023-04-01,Manipur,4-Wheelers,0,942
407,2023-04-01,Mizoram,4-Wheelers,0,336
408,2023-04-01,Nagaland,2-Wheelers,0,560
409,2023-05-01,Andaman & Nicobar Island,2-Wheelers,0,436
410,2023-05-01,Andaman & Nicobar Island,4-Wheelers,0,150
411,2023-05-01,Arunachal Pradesh,4-Wheelers,0,1132
412,2023-05-01,Ladakh,4-Wheelers,0,364
413,2023-05-01,Mizoram,4-Wheelers,0,382
414,2023-05-01,Nagaland,2-Wheelers,0,610
415,2023-05-01,Nagaland,4-Wheelers,0,796
416,2023-06-01,Andaman & Nicobar Island,2-Wheelers,0,373
417,2023-06-01,Arunachal Pradesh,2-Wheelers,0,1141
418,2023-06-01,Arunachal Pradesh,4-Wheelers,0,1089
419,2023-06-01,Ladakh,4-Wheelers,0,304
420,2023-06-01,Manipur,4-Wheelers,0,220
421,2023-06-01,Mizoram,4-Wheelers,0,383
422,2023-06-01,Nagaland,2-Wheelers,0,650
423,2023-06-01,Nagaland,4-Wheelers,0,620
424,2023-07-01,Andaman & Nicobar Island,2-Wheelers,0,424
425,2023-07-01,Arunachal Pradesh,2-Wheelers,0,1315
426,2023-07-01,Ladakh,4-Wheelers,0,301
427,2023-07-01,Mizoram,4-Wheelers,0,439
428,2023-08-01,Andaman & Nicobar Island,2-Wheelers,0,477
429,2023-08-01,Arunachal Pradesh,2-Wheelers,0,1292
430,2023-08-01,Ladakh,2-Wheelers,0,63
431,2023-08-01,Ladakh,4-Wheelers,0,278
432,2023-08-01,Mizoram,4-Wheelers,0,410
433,2023-08-01,Nagaland,2-Wheelers,0,592
434,2023-08-01,Nagaland,4-Wheelers,0,760
435,2023-09-01,Andaman & Nicobar Island,2-Wheelers,0,379
436,2023-09-01,Arunachal Pradesh,2-Wheelers,0,1274
437,2023-09-01,Ladakh,2-Wheelers,0,40
438,2023-09-01,Ladakh,4-Wheelers,0,211
439,2023-09-01,Manipur,2-Wheelers,0,426
440,2023-09-01,Manipur,4-Wheelers,0,239
441,2023-09-01,Mizoram,4-Wheelers,0,415
442,2023-09-01,Nagaland,4-Wheelers,0,654
443,2023-10-01,Arunachal Pradesh,2-Wheelers,0,1281
444,2023-10-01,Ladakh,2-Wheelers,0,33
445,2023-10-01,Ladakh,4-Wheelers,0,187
446,2023-10-01,Mizoram,4-Wheelers,0,453
447,2023-10-01,Nagaland,2-Wheelers,0,471
448,2023-10-01,Nagaland,4-Wheelers,0,743
449,2023-11-01,Arunachal Pradesh,2-Wheelers,0,1458
450,2023-11-01,Ladakh,2-Wheelers,0,39
451,2023-11-01,Ladakh,4-Wheelers,0,166
452,2023-11-01,Mizoram,4-Wheelers,0,531
453,2023-12-01,Ladakh,2-Wheelers,0,7
454,2023-12-01,Ladakh,4-Wheelers,0,144
455,2023-12-01,Mizoram,4-Wheelers,0,568
456,2023-12-01,Nagaland,2-Wheelers,0,421
457,2023-12-01,Nagaland,4-Wheelers,0,562
